variable,party2,1,2,3,4
disblack,Democrats,3.99,4.06,4.11,4.09
disblack,Republicans,2.97,2.97,2.81,2.85
dischristian,Democrats,2.29,2.18,2.1,2.16
dischristian,Republicans,3.13,3.03,2.9,3.02
dishispanic,Democrats,3.73,3.87,3.96,4
dishispanic,Republicans,2.85,2.95,2.79,2.81
dismen,Democrats,1.98,1.93,1.89,1.9
dismen,Republicans,2.25,2.32,2.49,2.44
dismuslim,Democrats,4.16,4.32,4.23,4.18
dismuslim,Republicans,3.44,3.44,3.35,3.33
diswhite,Democrats,2.09,2.1,1.89,1.96
diswhite,Republicans,2.88,2.88,2.86,2.81
diswomen,Democrats,3.37,3.43,3.5,3.5
diswomen,Republicans,2.64,2.67,2.59,2.64
ecoperc,Democrats,3.47,2.87,2.84,2.55
ecoperc,Republicans,2.41,3.57,4.26,4.15
govttrust,Democrats,0.35,0.28,0.27,0.27
govttrust,Republicans,0.23,0.26,0.3,0.28
hc1r,Democrats,3.1,3.01,2.72,2.71
hc1r,Republicans,1.83,1.98,2.39,2.52
ideo,Democrats,3.17,3.1,2.37,2.58
ideo,Republicans,5.15,5.2,3.82,4.29
immigindex,Democrats,3.69,3.88,3.93,3.9
immigindex,Republicans,2.32,2.4,2.29,2.21
isoindex,Democrats,2.78,2.68,2.55,2.61
isoindex,Republicans,3.1,3.09,3.01,3.02
majorrace,Democrats,-1.9,-1.96,-2.23,-2.12
majorrace,Republicans,-0.09,-0.1,0.05,-0.03
majorrelig,Democrats,-1.87,-2.14,-2.14,-2.02
majorrelig,Republicans,-0.31,-0.41,-0.46,-0.31
majorsex,Democrats,-1.38,-1.5,-1.6,-1.59
majorsex,Republicans,-0.39,-0.35,-0.09,-0.2
natsupindex,Democrats,3.21,3.08,2.98,3.03
natsupindex,Republicans,3.73,3.81,3.85,3.87
perecoperc,Democrats,3.21,2.98,2.81,2.77
perecoperc,Republicans,2.71,3.28,3.72,3.69
polarindex,Democrats,3.12,3.18,3.29,3.21
polarindex,Republicans,3.17,3.19,3.26,3.21
safetynet,Democrats,3.68,3.8,3.83,3.81
safetynet,Republicans,2.65,2.6,2.63,2.7
sc1r,Democrats,3.35,3.17,2.83,2.99
sc1r,Republicans,2.96,3.2,3.62,3.45
socialtrust,Democrats,0.5,0.5,0.49,0.47
socialtrust,Republicans,0.46,0.47,0.5,0.44
syslegindex,Democrats,2.91,2.73,2.63,2.68
syslegindex,Republicans,2.84,3.18,3.4,3.35
thermtrump,Democrats,10.85,13.67,13.12,11.22
thermtrump,Republicans,55.82,64.29,71.46,68.63
tr1r,Democrats,3.19,3.26,3.36,3.42
tr1r,Republicans,2.68,3.29,3.85,3.73
tsn1r,Democrats,3.93,4.05,4.02,4.05
tsn1r,Republicans,3.1,2.96,2.94,3.02
wayoflife,Democrats,2.68,2.85,2.8,2.83
wayoflife,Republicans,3.41,3.15,3.01,3.05
worryterror,Democrats,1.98,1.83,1.71,1.19
worryterror,Republicans,2.45,2.28,2.06,2.02
yeswar,Democrats,0.59,0.68,0.58,0.65
yeswar,Republicans,0.7,0.69,0.53,0.57
