variable,1,2,3,4
disblack,3.58,3.61,3.56,3.54
dischristian,2.62,2.54,2.47,2.55
dishispanic,3.38,3.49,3.47,3.49
dismen,2.11,2.1,2.19,2.19
dismuslim,3.87,3.95,3.84,3.8
diswhite,2.42,2.43,2.33,2.37
diswomen,3.08,3.11,3.13,3.13
ecoperc,3.04,3.15,3.38,3.2
govttrust,0.3,0.27,0.29,0.27
hc1r,2.59,2.57,2.56,2.61
immigindex,3.15,3.26,3.23,3.16
isoindex,2.93,2.86,2.79,2.83
majorrace,-1.16,-1.19,-1.23,-1.17
majorrelig,-1.24,-1.42,-1.38,-1.24
majorsex,-0.97,-1.02,-0.94,-0.95
natsupindex,3.41,3.38,3.31,3.38
party2,0.37,0.41,0.41,0.42
party3,0.43,0.44,0.44,0.45
perecoperc,3.02,3.1,3.14,3.13
polarindex,3.13,3.19,3.25,3.19
safetynet,3.27,3.3,3.33,3.33
sc1r,3.19,3.18,3.13,3.16
socialtrust,0.47,0.49,0.48,0.44
syslegindex,2.87,2.91,2.93,2.95
tr1r,3,3.27,3.53,3.52
tsn1r,3.6,3.6,3.59,3.61
wayoflife,2.98,2.98,2.87,2.92
worryterror,2.16,2.02,1.85,1.4
yeswar,0.63,0.68,0.56,0.61
IDEO,3.96,3.98,2.97,3.32
PARTYID7,3.6,3.72,3.65,3.7
THERMTRUMP,28.99,35.12,37.4,35.66
