variable,party2,1,2,3,4
disblack,Democrats,3.99457111834962,4.059876888640179,4.110546378653113,4.086124401913875
disblack,Republicans,2.9707495429616086,2.972332015810277,2.807763401109057,2.846715328467153
dischristian,Democrats,2.285171102661597,2.175910364145658,2.098789037603569,2.1627767803710354
dischristian,Republicans,3.127056672760512,3.0316455696202533,2.8954671600370028,3.017886178861789
dishispanic,Democrats,3.7321720195971695,3.8685393258426966,3.962444302991725,4.0047846889952154
dishispanic,Republicans,2.8537258509659615,2.946825396825397,2.7872340425531914,2.8141233766233764
dismen,Democrats,1.980349344978166,1.9338194054963544,1.893765903307888,1.9037081339712918
dismen,Republicans,2.250229990800368,2.320634920634921,2.4926062846580406,2.4448051948051948
dismuslim,Democrats,4.159475696340797,4.316114542391914,4.232824427480916,4.181490384615385
dismuslim,Republicans,3.438419117647059,3.4399363564041368,3.3531047265987026,3.3281758957654723
diswhite,Democrats,2.093391589295467,2.098149186763881,1.8857142857142857,1.96229802513465
diswhite,Republicans,2.882891125343092,2.8795562599049127,2.8564814814814814,2.8139723801787166
diswomen,Democrats,3.365070729053319,3.4280898876404495,3.497458703939009,3.4970095693779903
diswomen,Republicans,2.637281910009183,2.6658749010292953,2.5864939870490287,2.6425670186839967
ecoperc,Democrats,3.467969598262758,2.8696629213483145,2.841502227880331,2.5536892621475706
ecoperc,Republicans,2.410845588235294,3.565768621236133,4.256029684601113,4.146321746160065
govttrust,Democrats,0.34521387230964007,0.28196075689783745,0.27440703091910207,0.2689246506986028
govttrust,Republicans,0.23132052455016774,0.25695543248945146,0.3035576626580327,0.27507404415724285
hc1r,Democrats,3.0966340933767644,3.014582164890634,2.7171974522292994,2.713168971737823
hc1r,Republicans,1.8316559926806952,1.9778305621536025,2.3932898415657036,2.52303961196443
ideo,Democrats,3.169135802469136,3.0959247648902823,2.3738441215323647,2.579375
ideo,Republicans,5.149390243902439,5.197402597402597,3.824693685202639,4.294509151414309
immigindex,Democrats,3.6898825654923217,3.8812453392990305,3.9298690325306294,3.9027113237639552
immigindex,Republicans,2.318084781945715,2.398390076537345,2.2917052112241754,2.212843295638126
isoindex,Democrats,2.7799493304379297,2.6836879432624112,2.549332485696122,2.6071115100738083
isoindex,Republicans,3.1040103690149436,3.094664031620553,3.0077705827937096,3.019626926196269
majorrace,Democrats,-1.9021857923497267,-1.9607403252944475,-2.226810673443456,-2.122754491017964
majorrace,Republicans,-0.08691674290942361,-0.09508716323296355,0.05092592592592592,-0.03411860276198213
majorrelig,Democrats,-1.873224043715847,-2.1376404494382024,-2.1378430121250798,-2.019230769230769
majorrelig,Republicans,-0.30514705882352944,-0.40923566878980894,-0.45640074211502785,-0.3053061224489796
majorsex,Democrats,-1.383816293056315,-1.4960585585585586,-1.6028007638446848,-1.594853381208857
majorsex,Republicans,-0.38632162661737524,-0.3494837172359015,-0.09343200740055504,-0.1975609756097561
natsupindex,Democrats,3.211521070718032,3.0828203693340797,2.9786107581533248,3.0343488649940262
natsupindex,Republicans,3.7271480804387567,3.8084321475625824,3.849969192852742,3.8693074642953382
perecoperc,Democrats,3.212104689203926,2.9826330532212886,2.805484693877551,2.774174174174174
perecoperc,Republicans,2.7125803489439853,3.283558379666402,3.716417910447761,3.6886715566422166
polarindex,Democrats,3.119079898770788,3.1847136728222347,3.290712468193384,3.2127744510978045
polarindex,Republicans,3.16636197440585,3.193652678807073,3.2627551020408165,3.2100862998921253
safetynet,Democrats,3.6807817589576546,3.8003355704697985,3.8346031746031746,3.8063359234907352
safetynet,Republicans,2.6480804387568555,2.6024525316455698,2.633209990749306,2.703883495145631
sc1r,Democrats,3.346782988004362,3.1714285714285713,2.831094049904031,2.9854545454545454
sc1r,Republicans,2.9641873278236917,3.2012678288431062,3.61652739090065,3.448780487804878
socialtrust,Democrats,0.50234996384671,0.5045700429024436,0.49384680670485887,0.46788350289247954
socialtrust,Republicans,0.45532174443427875,0.47255212457112694,0.5027829313543599,0.4437264404954227
syslegindex,Democrats,2.9068095496473143,2.7326155853840417,2.630340524534687,2.6800737639553427
syslegindex,Republicans,2.8366087751371114,3.1768774703557314,3.395004625346901,3.353257942918686
thermtrump,Democrats,10.845336481700118,13.666666666666666,13.118327974276527,11.221411192214111
thermtrump,Republicans,55.81547064305685,64.28823058446757,71.4643188137164,68.62632869991823
tr1r,Democrats,3.194840834248079,3.263661971830986,3.3588917525773194,3.416564417177914
tr1r,Republicans,2.6815227483751163,3.2879872712808274,3.846585594013096,3.7250409165302782
tsn1r,Democrats,3.927717391304348,4.049804141018467,4.023506988564168,4.046107784431138
tsn1r,Republicans,3.0951509606587373,2.9596518987341773,2.9361702127659575,3.016990291262136
wayoflife,Democrats,2.6841243862520456,2.8499156829679597,2.8,2.832934131736527
wayoflife,Republicans,3.414141414141414,3.1520700636942673,3.012927054478301,3.052588996763754
worryterror,Democrats,1.9809885931558935,1.832214765100671,1.7112944162436547,1.1889153754469606
worryterror,Republicans,2.4501372369624885,2.280632411067194,2.0600184672206834,2.016155088852989
yeswar,Democrats,0.5872410032715376,0.6771476698483998,0.576260370134014,0.6531966224366706
yeswar,Republicans,0.7023809523809523,0.6865079365079365,0.5315985130111525,0.5663430420711975
