variable,1,2,3,4
disblack,3.5839051777916406,3.611693676517318,3.559284818067754,3.541629891144454
dischristian,2.6225413674679987,2.5368956743002546,2.4672955974842767,2.5545400943396226
dishispanic,3.379385964912281,3.4859604339502233,3.466394472361809,3.4871945834559908
dismen,2.1069971760276123,2.101338432122371,2.1880100439422474,2.185512367491166
dismuslim,3.8672732977721997,3.9533695305014374,3.8444863336475024,3.7963947990543736
diswhite,2.417971195992486,2.4270700636942677,2.3335425164731722,2.3717986458639975
diswomen,3.075070378479825,3.11472275334608,3.1311578286790085,3.1322533136966126
ecoperc,3.0419142946512356,3.1509735078199808,3.3764150943396225,3.199705882352941
govttrust,0.2993978880565959,0.2706411683630195,0.2852604330090995,0.2698176700930005
hc1r,2.592002499218994,2.568877551020408,2.5615141955835963,2.6127797408716136
immigindex,3.150613050706567,3.2588765235824058,3.2342624491074226,3.159088686809426
isoindex,2.926512788521522,2.8599830526427286,2.791792215944758,2.826788163825201
majorrace,-1.164735358596931,-1.185031847133758,-1.226302573760201,-1.1696612665684831
majorrelig,-1.2415201005025125,-1.4151486097794823,-1.3782677165354331,-1.241563055062167
majorsex,-0.9672853098458635,-1.0159744408945688,-0.9422110552763819,-0.9475081097021527
natsupindex,3.4105602328240305,3.380838894184938,3.311918938681709,3.3757335680751175
party2,0.37185588035350103,0.4143465443825745,0.40683696468820435,0.42455418381344306
party3,0.42697160883280755,0.4350525310410697,0.43921875,0.4470605440187189
perecoperc,3.0185069008782937,3.1027113237639554,3.14249684741488,3.129689807976366
polarindex,3.1281191515907674,3.1862854412233195,3.2493961352657004,3.1884494756444184
safetynet,3.2702744853399874,3.3020965692503177,3.331191222570533,3.3282442748091605
sc1r,3.1865203761755487,3.1832961428116033,3.12899146380019,3.162362718907688
socialtrust,0.4733312538989395,0.4871101209420751,0.4785250366645715,0.4440039158100832
syslegindex,2.873648367644001,2.911188737165238,2.9300156739811913,2.953421309872923
tr1r,2.9981018664979437,3.2680973734785392,3.5326745298055466,3.519916142557652
tsn1r,3.60368519675203,3.5977121067683506,3.591721542803387,3.6102292768959434
wayoflife,2.975563909774436,2.977948226270374,2.8670429601756036,2.9211532803765814
worryterror,2.1632334581772783,2.0216010165184244,1.852037617554859,1.403626791459491
yeswar,0.6336881653099562,0.6802938358351964,0.5578016424510424,0.6129700917974533
IDEO,3.964974982130093,3.9831359885181197,2.971057884231537,3.3180964308077647
PARTYID7,3.5990536277602523,3.7156956383317414,3.6509375,3.6968987712112344
THERMTRUMP,28.993050959629386,35.1153972964062,37.398983481575605,35.657792402034104
